YMD,PM2.5,PM10,sensor
2020-01-16T00:00:00Z,6.6285135821637375,10.62015183097716,metone
2020-01-16T01:00:00Z,7.4989286957213235,10.065900818273876,metone
2020-01-16T02:00:00Z,8.404595436219886,11.184988317751866,metone
2020-01-16T03:00:00Z,9.55315335191962,12.633812197999164,metone
2020-01-16T04:00:00Z,8.422385034962579,12.908922955985288,metone
2020-01-16T08:00:00Z,11.796568710321385,13.919136535709498,metone
2020-01-16T09:00:00Z,2.3019887407437163,3.669971536179872,metone
2020-01-16T10:00:00Z,1.1390060458680755,4.642902888595573,metone
2020-01-16T11:00:00Z,1.1697203286752968,5.991991748107045,metone
2020-01-16T12:00:00Z,1.1772003972971423,5.679870560220654,metone
2020-01-16T13:00:00Z,1.1893055274756952,6.187155242516512,metone
2020-01-16T14:00:00Z,1.3208901200387664,7.582135738585388,metone
2020-01-16T15:00:00Z,1.307824040464719,5.528066218290215,metone
2020-01-16T16:00:00Z,1.1808865758742535,4.173000778384687,metone
2020-01-16T17:00:00Z,0.9192878960848866,3.851144224379442,metone
2020-01-16T18:00:00Z,0.789259396753205,2.439794908333201,metone
2020-01-16T19:00:00Z,0.7781565093257855,2.5583210551142117,metone
2020-01-16T20:00:00Z,0.6695615317473441,1.85711843957271,metone
2020-01-16T21:00:00Z,0.7492469245631452,2.2021422243119293,metone
2020-01-16T22:00:00Z,0.9720075478536578,2.287707696549385,metone
2020-01-16T23:00:00Z,1.2204438746002444,2.264906194880502,metone
2020-01-17T00:00:00Z,1.245357104552663,1.919597522272774,metone
2020-01-17T01:00:00Z,1.530332204518741,2.18890672686003,metone
2020-01-17T02:00:00Z,2.123599357796605,2.8401061413045667,metone
2020-01-17T03:00:00Z,2.1487711199295503,2.9340804842471493,metone
2020-01-17T04:00:00Z,1.525486334993367,2.461008775834951,metone
2020-01-17T05:00:00Z,1.2491600753055132,2.433487834944532,metone
2020-01-17T06:00:00Z,1.2489034562076502,2.7802344252272206,metone
2020-01-17T07:00:00Z,1.475968005228525,4.124328305097615,metone
2020-01-17T08:00:00Z,2.703594533301413,7.764008836964007,metone
2020-01-17T09:00:00Z,3.0685090378883277,12.583192999043368,metone
2020-01-17T10:00:00Z,2.387916978738992,8.610651661903432,metone
2020-01-17T11:00:00Z,3.500625167194098,13.66758230305072,metone
2020-01-17T12:00:00Z,3.0826251707212937,11.633274937832631,metone
2020-01-17T13:00:00Z,3.659393308568245,13.38042345657114,metone
2020-01-17T14:00:00Z,4.2794230754152265,16.198870483737263,metone
2020-01-17T15:00:00Z,3.266928293193672,10.091892543583416,metone
2020-01-17T16:00:00Z,2.579071714348694,7.920278280534333,metone
2020-01-17T17:00:00Z,2.6168831299479063,7.9481976062655555,metone
2020-01-17T18:00:00Z,2.896371116102168,7.83470000401607,metone
2020-01-17T19:00:00Z,3.9385663119344487,10.37157989962534,metone
2020-01-17T20:00:00Z,3.6015330692312784,8.034958603078854,metone
2020-01-17T21:00:00Z,3.669431807125868,7.856921196204132,metone
2020-01-17T22:00:00Z,2.966541775100393,5.735984962687522,metone
2020-01-17T23:00:00Z,3.0298766490250326,5.41727926248921,metone
2020-01-18T00:00:00Z,3.135021859074919,5.019344387584172,metone
2020-01-18T01:00:00Z,3.3153723590976227,4.780229600124184,metone
2020-01-18T02:00:00Z,3.405631617178215,4.873667430021894,metone
2020-01-18T03:00:00Z,3.4596661663533093,4.934566686394316,metone
2020-01-18T04:00:00Z,3.516417193198272,4.91167865035755,metone
2020-01-18T05:00:00Z,3.433651980816141,4.687385457966901,metone
2020-01-18T06:00:00Z,3.6076473105829474,5.321480138183785,metone
2020-01-18T07:00:00Z,3.9279288253768954,5.983563055784869,metone
2020-01-18T08:00:00Z,4.189994325054259,6.655916301781009,metone
2020-01-18T09:00:00Z,3.965155897264894,6.217760067621468,metone
2020-01-18T10:00:00Z,3.982803098689986,6.555966236802751,metone
2020-01-18T11:00:00Z,4.106811034005102,7.542895764819315,metone
2020-01-18T12:00:00Z,4.017613120132877,6.769795546833172,metone
2020-01-19T06:00:00Z,14.096753355977237,14.952611715733092,metone
2020-01-19T07:00:00Z,8.805908641421803,9.78109483488728,metone
2020-01-19T08:00:00Z,7.575805408706253,8.713689122464155,metone
2020-01-19T09:00:00Z,6.422832569784427,7.305285280388626,metone
2020-01-19T10:00:00Z,4.042662706676547,5.965482671537048,metone
2020-01-19T11:00:00Z,2.023048808045867,2.9849573546852577,metone
2020-01-19T12:00:00Z,0.7428956323088544,1.9845346976916105,metone
2020-01-19T13:00:00Z,0.8725674244277851,1.9142365252273048,metone
2020-01-19T14:00:00Z,1.1559473718064612,2.7091764688061826,metone
2020-01-19T15:00:00Z,1.2428933287418678,2.581801011418285,metone
2020-01-19T16:00:00Z,1.4795321077492152,3.5413704927741776,metone
2020-01-19T17:00:00Z,1.8158767540852483,3.48313126544395,metone
2020-01-19T18:00:00Z,1.992393109952974,3.560818516042114,metone
2020-01-19T19:00:00Z,1.5972563447776145,3.647622353379983,metone
2020-01-19T20:00:00Z,1.8035507439431968,3.6619569329311257,metone
2020-01-19T21:00:00Z,2.330679359705444,4.26498969969645,metone
2020-01-19T22:00:00Z,2.611728096616741,5.360577162611884,metone
2020-01-19T23:00:00Z,2.8625826316653176,5.289962895219358,metone
2020-01-20T00:00:00Z,2.275447835258648,4.550799492621702,metone
2020-01-20T01:00:00Z,2.1569894417337765,3.386630568422932,metone
2020-01-20T02:00:00Z,1.8542188376489408,3.217852065331278,metone
2020-01-20T03:00:00Z,1.807984232472522,3.600284767044227,metone
